,X,Y,Z,"relatedness(Y,Z)","relatedness(X,Z)",surprisal(Z),ambiguity(Z),"dissimilarity(x,y)",Score
3026,boys,lie,big,7.061242869376917e-06,1.916623064545163e-05,0.008795325150064452,0.9271307452303235,0.37463478627453173,4.459414682619891e-13
3337,boys,Chinese,young,6.88076710327885e-06,3.0103356076844974e-05,0.007499212523966997,0.9598992030677757,0.2802450370797182,4.3531673760030013e-13
3022,boys,blow,big,5.8638572981691285e-06,1.591618409503049e-05,0.007303888639016158,0.7699157906539387,0.6381036970781157,4.3497845910999746e-13
2833,boys,white,big,8.339275748466359e-06,1.9805779902607604e-05,0.009088812365689914,0.9580677505480192,0.2863975879574186,4.29929035870938e-13
2733,boys,Speed,High,7.4258093020946654e-06,1.2066940115903834e-05,0.008093243279855005,0.8057273309722316,0.5922313461282027,4.2949185813962346e-13
2713,boys,Tech,High,7.4258093020946654e-06,1.2066940115903834e-05,0.008093243279855005,0.8057273309722316,0.5922313461282027,4.2949185813962346e-13
3078,boys,hug,big,7.139414187296696e-06,1.9378409936948173e-05,0.008892693583813593,0.9373945236584682,0.3481557504759097,4.283389992236565e-13
3284,boys,family,young,2.861807699022996e-05,3.130102170806402e-05,0.0077975695934656775,0.9980889079636067,0.06130030921375292,4.281745857220653e-13
3034,boys,cats,big,7.1499467900801645e-06,1.940699843021759e-05,0.008905812756722774,0.9387774388263066,0.3444090684376776,4.256075451772617e-13
3320,boys,fans,young,4.831581533718727e-06,2.8184225613359243e-05,0.007021127383886259,0.8987043051374412,0.4384988881171691,4.1924777688884475e-13
2988,boys,gap,big,5.685873367426105e-06,1.8005265663515995e-05,0.008262561838756509,0.8709712244148037,0.49126454783214263,4.1555342294314163e-13
3041,boys,saves,big,5.587268658907415e-06,1.7693017419873478e-05,0.008119272066178079,0.8558667966230069,0.5171325782767195,4.1506914669992496e-13
3005,boys,guns,big,5.544481188121552e-06,1.7557523762384912e-05,0.008057094437439889,0.8493125430524872,0.527828842622242,4.139956246678409e-13
3082,boys,dividends,big,5.473443915580961e-06,1.733257239933971e-05,0.007953864938769411,0.8384309394279285,0.5449498100854432,4.1120502487362754e-13
2971,boys,shift,big,5.659753171568903e-06,1.5362187179972734e-05,0.007049661133869135,0.743117220699617,0.6691241277293358,4.101337187407386e-13
3086,boys,kiss,big,5.433745451027523e-06,1.720686059492049e-05,0.007896176172755799,0.832349864798729,0.5541943275113747,4.0914743739294687e-13
2974,boys,moves,big,5.301312610554257e-06,1.6787489933421812e-05,0.007703728247312838,0.8120635893638003,0.5835181051953303,4.0005939155842063e-13
3387,boys,Muslims,young,4.9790632767506335e-06,2.9044535781045362e-05,0.007235443979269802,0.9261368293465346,0.37711831142228347,3.945980102753889e-13
3017,boys,cat,big,5.199167059274831e-06,1.6464029021036964e-05,0.0075552930150343195,0.7964167695847942,0.604700956153934,3.9107662879668455e-13
2948,boys,defensive,big,6.026477322634238e-06,1.908384485500842e-05,0.008757518560542632,0.9231454859113175,0.38435103396466536,3.8711368461389627e-13
2755,boys,government,big,1.9481009589723366e-05,2.0563287900263555e-05,0.009436430489796097,0.9947107904538003,0.10228096759431111,3.8663982820285874e-13
2934,boys,gain,big,5.860201415161379e-06,1.3917978361008276e-05,0.006386918084264993,0.6732563062942862,0.7393816018026869,3.8516665839777254e-13
3316,boys,white,young,6.9602046462082795e-06,3.0450895327161227e-05,0.007585789937192577,0.9709811119606498,0.23903584465721311,3.8431374582230114e-13
3404,boys,couples,young,1.2440802255360107e-05,3.1102005638400264e-05,0.007747991606271049,0.9917429256026943,0.12800756626453647,3.8376164324081855e-13
2486,boys,days,old,3.449392785867027e-05,4.927703979810039e-06,0.004296485998740929,0.8554781010826384,0.5178211636868393,3.7816424002402335e-13
2752,boys,family,big,2.6039312519267232e-05,2.061445574441989e-05,0.009459911258388935,0.9971859397078219,0.07436874763642426,3.776408075067555e-13
3352,boys,star,young,5.066778063879581e-06,2.9556205372630892e-05,0.007362908804107147,0.9424523269257148,0.3342594772732803,3.6856467527199896e-13
2803,boys,companies,big,2.713416178129969e-05,2.0621962953787765e-05,0.009463356294013387,0.99754908699247,0.06932721519442354,3.671092768686218e-13
2858,boys,player,big,6.186842445043981e-06,1.9591667742639274e-05,0.008990556944457622,0.9477104732040035,0.3190047467407993,3.4763556821709625e-13
3429,boys,African-American,young,4.052201740854344e-06,2.8365412185980406e-05,0.007066263767055856,0.9044817621831496,0.4264537594785885,3.4637133983788533e-13
3075,boys,discounts,big,4.651595323559141e-06,1.7676062229524734e-05,0.008111491380718478,0.8550466208380889,0.5184876850677029,3.458012857812582e-13
3400,boys,lady,young,3.7605508739968626e-05,3.133792394997386e-05,0.007806762513816029,0.9992656017684517,0.037514119810377396,3.451337417122981e-13
2925,boys,pieces,big,4.58686637635482e-06,1.7430092230148314e-05,0.007998616493543404,0.8431482797899871,0.5376216142386085,3.4380118445065243e-13
3310,boys,mother,young,1.786394856530769e-05,3.1261909989288456e-05,0.007787826258186817,0.9968417610479126,0.0790307022405906,3.4372020567322145e-13
3104,boys,spenders,big,4.826492597164498e-06,1.834067186922509e-05,0.008416478729935157,0.8871958755319884,0.46131620496698544,3.4369722548325054e-13
2865,boys,parties,big,4.559497369451506e-06,1.732609000391572e-05,0.00795089018715758,0.8381173656109637,0.5454319980397074,3.4258938573891936e-13
3297,boys,parents,young,6.0827802756285545e-06,3.0413901378142775e-05,0.007576574171180242,0.969801493911071,0.24377788449668256,3.4169721995644e-13
3383,boys,gay,young,6.0860510177952264e-06,3.043025508897613e-05,0.007580648133989631,0.9703229611506727,0.24169378120799445,3.3932276438794896e-13
