,X,Y,Z,"relatedness(Y,Z)","relatedness(X,Z)",surprisal(Z),ambiguity(Z),"dissimilarity(x,y)",Score
949,coffee,arrests,some,1.9200584926619206e-07,4.4801364828778145e-07,0.000949667616334283,0.2,1.7874407663730856,2.9203774544603286e-17
559,coffee,short,some,5.760175477985761e-07,4.4801364828778145e-07,0.000949667616334283,0.2,0.5929586249975721,2.906383863087852e-17
1367,coffee,take,fresh,3.840116985323841e-07,1.9200584926619206e-07,0.000949667616334283,0.07692307692307693,5.38275498343604,2.89929096643409e-17
841,coffee,incidents,some,1.9200584926619206e-07,4.4801364828778145e-07,0.000949667616334283,0.2,1.7657397044418905,2.88492157072198e-17
2916,coffee,heritage,local,1.9200584926619206e-07,7.040214473093709e-07,0.000949667616334283,0.2,1.117143200961704,2.86820917110393e-17
536,coffee,countries,some,2.8160857892374835e-06,4.4801364828778145e-07,0.000949667616334283,0.2,0.11941568980057145,2.861542112719826e-17
97,coffee,notice,much,4.4801364828778145e-07,1.9200584926619206e-07,0.000949667616334283,0.14285714285714285,2.4407816090647243,2.848447470848634e-17
1338,coffee,item,popular,3.2000974877698677e-07,1.9200584926619206e-07,0.000949667616334283,0.25,1.9124956225238374,2.789907185241051e-17
703,coffee,votes,some,3.2000974877698677e-07,4.4801364828778145e-07,0.000949667616334283,0.2,1.020094645713856,2.7777716804226244e-17
597,coffee,Christmas,some,4.4801364828778145e-07,4.4801364828778145e-07,0.000949667616334283,0.2,0.7254504587788757,2.765615962967372e-17
2291,coffee,spaces,small,1.9200584926619206e-07,3.840116985323841e-07,0.000949667616334283,0.07692307692307693,5.086116345978986,2.739513728844585e-17
794,coffee,manner,some,3.2000974877698677e-07,4.4801364828778145e-07,0.000949667616334283,0.2,0.9950842944291581,2.7096671708970023e-17
1297,coffee,location,popular,1.6000487438849337e-06,1.9200584926619206e-07,0.000949667616334283,0.25,0.37089728183970266,2.7052846014502814e-17
635,coffee,details,some,8.320253468201656e-07,4.4801364828778145e-07,0.000949667616334283,0.2,0.37336192362083626,2.6433790963253218e-17
23,coffee,room,much,1.1520350955971522e-06,1.9200584926619206e-07,0.000949667616334283,0.14285714285714285,0.8778349723513682,2.634308520302693e-17
1668,coffee,campaigns,expensive,1.9200584926619206e-07,1.9200584926619206e-07,0.000949667616334283,1.0,0.7493674737953204,2.6235864907468342e-17
1145,coffee,head,black,2.5600779902158937e-07,1.9200584926619206e-07,0.000949667616334283,0.045454545454545456,12.363007033130513,2.62325626905887e-17
1498,coffee,impact,strong,3.2000974877698677e-07,2.5600779902158937e-07,0.000949667616334283,0.1,3.3645369481905893,2.617660595567067e-17
3127,coffee,August,hot,2.5600779902158937e-07,1.0240311960863575e-06,0.000949667616334283,0.047619047619047616,2.2059755754406978,2.6152873716862003e-17
1667,coffee,gifts,expensive,1.9200584926619206e-07,1.9200584926619206e-07,0.000949667616334283,1.0,0.7459896336111287,2.6117604425327803e-17
